,International Terrorist Watch List,National Terrorist Watch List,National Law Enforcement,Local Law Enforcement,IRS or other Federal Finance Company,Face Match with Picture DB,Cash Payment Same Day,Immediate Family,Extented Family,Place of Worship,WatchList,Biometrics,Ticket Purchase,Link Analysis,Total
63403,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
63972,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
64090,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
64743,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
65063,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
65066,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
65420,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
65458,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
65714,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
65921,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
65968,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
66270,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
66657,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
66941,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
66985,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
67061,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
67706,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
67828,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
67946,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
68178,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
68363,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
68541,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
68992,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
69105,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
69421,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
69549,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
69782,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
69984,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
70100,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
70668,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
70793,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
71153,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
71268,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
71361,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
71593,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
72043,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
72712,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
73168,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
73385,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
73478,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
73982,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
74171,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
74268,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
74328,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
74408,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
74425,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
74914,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
75098,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
75291,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
75394,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
75404,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
76075,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
76209,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
76682,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
76834,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
77711,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
77817,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
78483,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
78518,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
78628,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
78721,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
78776,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
78931,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
79303,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
79453,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
80024,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
80342,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
80568,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
81170,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
81432,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
81698,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
82041,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
82287,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
82793,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
83418,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
83965,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
84303,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
84748,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
84762,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
84829,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
85017,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
85232,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
85476,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
85966,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
86203,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
86224,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
86320,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
86339,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
86432,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
86767,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
87031,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
87137,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
87569,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
87635,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
87951,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
88260,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
88261,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
88371,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
88825,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
89194,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
89340,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
89660,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
90132,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
91026,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
91622,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
91683,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
92736,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
92883,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
92938,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
93181,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
93225,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
93638,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
93663,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
93692,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
93718,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
93753,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
94061,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
94093,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
94614,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
94773,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
95179,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
95361,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
95524,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
95577,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
95642,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
95844,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
96009,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
96827,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
96969,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
97809,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
98163,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
98308,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
98421,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
98461,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
98680,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
98875,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
98957,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
99349,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
99355,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
99374,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
99450,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
99716,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
99932,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
99978,0,1,0,0,0,0,1,0,0,0,51,0,75,0,41.7
1311,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
1942,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
2327,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
2649,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
4561,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
4634,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
12377,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
12614,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
12955,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
14462,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
14910,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
15137,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
17246,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
17520,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
17795,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
17939,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
19981,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
23402,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
24343,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
24457,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
29933,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
29949,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
30631,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
30750,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
32675,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
33334,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
34941,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
35599,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
36599,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
38686,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
43575,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
43766,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
44258,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
46000,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
47643,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
49636,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
49937,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
53412,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
55627,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
57397,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
58941,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
61945,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
64664,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
66792,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
67796,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
68857,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
70363,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
71383,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
72328,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
74274,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
74668,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
77787,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
79043,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
79655,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
81204,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
86778,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
86941,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
88506,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
89049,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
91367,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
92572,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
94038,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
95030,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
97444,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
97737,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
98762,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
99126,0,1,0,1,1,0,0,0,0,0,92,0,0,0,41.4
4988,1,1,1,1,0,0,0,0,0,0,91.939293,0,0,0,41.37268185
91020,1,1,1,1,0,0,0,0,0,0,91.939293,0,0,0,41.37268185
6566,0,1,1,1,1,0,0,0,0,0,91.854,0,0,0,41.3343
6736,0,1,1,1,1,0,0,0,0,0,91.854,0,0,0,41.3343
36267,0,1,1,1,1,0,0,0,0,0,91.854,0,0,0,41.3343
71462,0,1,1,1,1,0,0,0,0,0,91.854,0,0,0,41.3343
72951,0,1,1,1,1,0,0,0,0,0,91.854,0,0,0,41.3343
78370,0,1,1,1,1,0,0,0,0,0,91.854,0,0,0,41.3343
98647,0,1,1,1,1,0,0,0,0,0,91.854,0,0,0,41.3343
581,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
960,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
2140,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
12402,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
13685,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
15906,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
17078,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
18817,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
20415,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
23468,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
24314,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
27326,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
27691,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
27713,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
28525,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
30567,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
34539,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
35991,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
37614,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
39701,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
44956,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
45437,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
47713,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
52240,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
52732,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
54411,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
55768,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
56555,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
57698,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
59260,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
60045,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
60100,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
60991,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
64458,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
70234,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
72603,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
73890,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
73955,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
74429,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
75538,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
78788,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
81196,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
82544,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
87047,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
88734,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
89274,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
91653,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
92190,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
92744,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
96727,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
96918,0,0,0,1,1,0,1,0,0,1,41,0,75,20,41.2
3167,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
4716,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
59010,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
70965,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
71393,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
83316,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
85973,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
90188,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
95164,1,1,0,1,0,0,0,0,0,0,91.1979,0,0,0,41.039055
615,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
1931,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
7768,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
9499,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
12559,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
12908,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
15516,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
16245,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
18792,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
22681,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
24852,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
28175,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
29234,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
31923,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
32639,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
46325,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
48520,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
54110,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
54543,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
55737,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
56977,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
59698,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
67853,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
70949,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
72224,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
73531,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
73808,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
79414,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
82046,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
96831,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
98098,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
98436,0,0,0,0,0,0,2,1,0,1,0,0,100,80,41
1829,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
2165,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
2856,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
5060,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
6215,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
9888,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
10025,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
12118,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
12827,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
13501,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
14319,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
14685,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
18931,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
19109,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
24859,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
24973,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
25482,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
25623,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
25759,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
26163,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
27066,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
29489,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
31006,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
31554,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
32643,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
33086,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
33977,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
34943,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
37126,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
37767,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
38755,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
40888,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
43004,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
44171,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
45015,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
46270,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
47575,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
49560,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
50283,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
51060,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
51630,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
53091,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
53189,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
57644,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
59443,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
61109,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
62183,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
64682,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
64909,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
67047,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
70717,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
75649,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
78087,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
78940,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
79435,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
85003,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
87375,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
90639,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
93770,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
94651,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
94721,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
95188,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
96478,1,0,1,0,0,0,0,0,0,0,90.9,0,0,0,40.905
61492,0,0,1,1,0,0,0,1,0,1,55,0,0,80,40.75
153,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
2857,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
3395,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
10626,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
11146,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
17232,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
27708,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
38931,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
39987,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
44970,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
45659,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
51282,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
73766,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
77117,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
80135,1,1,0,0,1,0,0,0,0,0,90.5418,0,0,0,40.74381
